calendar_month,commits,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,threshold_label,commit_ai_fraction
2022-01,180,79,0.4107311169459331,0.35849331337142515,medium,0.4388888888888889
2022-02,180,79,0.4055345801534737,0.36105249356294106,medium,0.4388888888888889
2022-03,180,75,0.3962768693616973,0.36400801773355507,medium,0.4166666666666667
2022-04,180,71,0.36221428540946043,0.3219593057457869,medium,0.39444444444444443
2022-05,180,84,0.4376827253738413,0.39765698391617044,medium,0.4666666666666667
2022-06,180,78,0.4025320349191608,0.3559916221213391,medium,0.43333333333333335
2022-07,179,86,0.4580395509736028,0.41093773568172254,medium,0.48044692737430167
2022-08,180,68,0.3599890467430409,0.31605542157032157,medium,0.37777777777777777
2022-09,180,79,0.4080227580469985,0.3751422786872345,medium,0.4388888888888889
2022-10,180,71,0.36323065407881255,0.3434943812319952,medium,0.39444444444444443
2022-11,180,85,0.4543191412608912,0.40254749155288866,medium,0.4722222222222222
2022-12,180,80,0.4126724878873064,0.38496041991120467,medium,0.4444444444444444
2023-01,180,80,0.4106347241133117,0.38622451143411846,medium,0.4444444444444444
2023-02,180,84,0.4251626909859178,0.39696600486470146,medium,0.4666666666666667
2023-03,180,83,0.43226605325149886,0.39765254641686676,medium,0.46111111111111114
2023-04,180,78,0.4006691707398632,0.3709291141715486,medium,0.43333333333333335
2023-05,180,82,0.42926492288435364,0.38293093389930744,medium,0.45555555555555555
2023-06,180,82,0.42750346450348586,0.38330034503009924,medium,0.45555555555555555
2023-07,180,100,0.5176234620329924,0.4756109417024129,medium,0.5555555555555556
2023-08,176,81,0.44010119759115757,0.40398507973435527,medium,0.4602272727272727
2023-09,180,78,0.40594393138422447,0.3630815602836504,medium,0.43333333333333335
2023-10,180,65,0.34451826972380595,0.31069064571296634,medium,0.3611111111111111
2023-11,180,87,0.449266053653972,0.401533008530459,medium,0.48333333333333334
2023-12,180,73,0.38165495206632877,0.34707680721165113,medium,0.40555555555555556
2024-01,180,82,0.4356413865355623,0.4003121680701262,medium,0.45555555555555555
2024-02,180,77,0.4011498651453794,0.35792454661943207,medium,0.42777777777777776
2024-03,180,59,0.31767965556242656,0.28057755666953504,medium,0.3277777777777778
2024-04,179,71,0.3761193797086888,0.34852856113651964,medium,0.39664804469273746
2024-05,180,64,0.3288565327056337,0.30431114963230904,medium,0.35555555555555557
2024-06,180,72,0.363744939107232,0.3285252795811713,medium,0.4
2024-07,180,73,0.390202353360572,0.34891778750842206,medium,0.40555555555555556
2024-08,180,79,0.41562939685697387,0.3808554821508711,medium,0.4388888888888889
2024-09,180,82,0.4319559145571141,0.38774448319945953,medium,0.45555555555555555
2024-10,180,65,0.3467257525045218,0.31235482641681744,medium,0.3611111111111111
